case_id,activity,timestamp,resource,supplier_name
CASE-0001,Order Received,2025-05-21T07:14:00Z,R-Ops1,EcoLink Carriers
CASE-0001,Warehouse Pick & Pack,2025-05-21T07:56:33Z,R-Ops1,EcoLink Carriers
CASE-0001,Customs Clearance,2025-05-21T10:21:09Z,R-Ops1,EcoLink Carriers
CASE-0001,Road Transport Dispatch,2025-05-21T20:16:40Z,R-Ops1,EcoLink Carriers
CASE-0001,Recycling Processing,2025-05-22T17:10:58Z,R-Ops1,EcoLink Carriers
CASE-0001,Last Mile Delivery,2025-05-22T18:52:51Z,R-Ops1,EcoLink Carriers
CASE-0002,Order Received,2025-10-15T06:45:00Z,R-Ops1,FastCargo Ltd.
CASE-0002,Warehouse Pick & Pack,2025-10-15T08:13:29Z,R-Ops1,FastCargo Ltd.
CASE-0002,Customs Clearance,2025-10-15T12:24:16Z,R-Ops1,FastCargo Ltd.
CASE-0002,Road Transport Dispatch,2025-10-15T18:10:05Z,R-Ops1,FastCargo Ltd.
CASE-0002,Incineration Disposal,2025-10-16T17:15:44Z,R-Ops1,FastCargo Ltd.
CASE-0002,Last Mile Delivery,2025-10-16T20:21:24Z,R-Ops1,FastCargo Ltd.
CASE-0003,Order Received,2025-03-21T06:48:00Z,R-Ops3,SpeedJet Air Cargo
CASE-0003,Warehouse Pick & Pack,2025-03-21T07:48:17Z,R-Ops3,SpeedJet Air Cargo
CASE-0003,Customs Clearance,2025-03-21T10:10:33Z,R-Ops3,SpeedJet Air Cargo
CASE-0003,Air Freight Dispatch,2025-03-21T14:56:58Z,R-Ops3,SpeedJet Air Cargo
CASE-0003,Last Mile Delivery,2025-03-21T19:21:52Z,R-Ops3,SpeedJet Air Cargo
CASE-0004,Order Received,2025-03-05T12:05:00Z,R-Ops5,GreenFreight Ltd.
CASE-0004,Warehouse Pick & Pack,2025-03-05T13:24:41Z,R-Ops5,GreenFreight Ltd.
CASE-0004,Customs Clearance,2025-03-05T18:43:44Z,R-Ops5,GreenFreight Ltd.
CASE-0004,Truck Delivery Transport Dispatch,2025-03-06T03:40:37Z,R-Ops5,GreenFreight Ltd.
CASE-0004,Last Mile Delivery,2025-03-07T03:27:02Z,R-Ops5,GreenFreight Ltd.
CASE-0005,Order Received,2025-05-29T02:54:00Z,R-Ops2,EcoLink Carriers
CASE-0005,Warehouse Pick & Pack,2025-05-29T03:44:57Z,R-Ops2,EcoLink Carriers
CASE-0005,Customs Clearance,2025-05-29T06:09:11Z,R-Ops2,EcoLink Carriers
CASE-0005,Road Transport Dispatch,2025-05-29T12:22:37Z,R-Ops2,EcoLink Carriers
CASE-0005,Last Mile Delivery,2025-05-30T07:01:31Z,R-Ops2,EcoLink Carriers
CASE-0006,Order Received,2025-12-26T21:41:00Z,R-Ops3,Deecan Roadlines
CASE-0006,Warehouse Pick & Pack,2025-12-26T22:17:25Z,R-Ops3,Deecan Roadlines
CASE-0006,Customs Clearance,2025-12-27T02:49:49Z,R-Ops3,Deecan Roadlines
CASE-0006,Road Transport Dispatch,2025-12-27T11:06:12Z,R-Ops3,Deecan Roadlines
CASE-0006,Landfill Disposal,2025-12-28T06:43:33Z,R-Ops3,Deecan Roadlines
CASE-0006,Last Mile Delivery,2025-12-28T09:47:26Z,R-Ops3,Deecan Roadlines
CASE-0007,Order Received,2025-01-29T07:52:00Z,R-Ops3,Deecan Roadlines
CASE-0007,Warehouse Pick & Pack,2025-01-29T08:24:53Z,R-Ops3,Deecan Roadlines
